Entity,Year,Annual CO₂ emissions from coal
Afghanistan,1949,14656
Afghanistan,1950,21068
Afghanistan,1951,25648
Afghanistan,1952,31707.998
Afghanistan,1953,37949
Afghanistan,1954,42502
Afghanistan,1955,62288
Afghanistan,1956,62288
Afghanistan,1957,76944
Afghanistan,1958,91600
Afghanistan,1959,109920
Afghanistan,1960,127115
Afghanistan,1961,175872
Afghanistan,1962,296784
Afghanistan,1963,263808
Afghanistan,1964,300448
Afghanistan,1965,381056
Afghanistan,1966,428688
Afghanistan,1967,399376
Afghanistan,1968,332429
Afghanistan,1969,362736
Afghanistan,1970,436974
Afghanistan,1971,359072
Afghanistan,1972,190528
Afghanistan,1973,310745
Afghanistan,1974,304695
Afghanistan,1975,398689
Afghanistan,1976,425024
Afghanistan,1977,450672
Afghanistan,1978,576226
Afghanistan,1979,351744
Afghanistan,1980,315762
Afghanistan,1981,333424
Afghanistan,1982,384720
Afghanistan,1983,384720
Afghanistan,1984,392556
Afghanistan,1985,399794
Afghanistan,1986,425024
Afghanistan,1987,442824
Afghanistan,1988,366400
Afghanistan,1989,337088
Afghanistan,1990,278464
Afghanistan,1991,249627
Afghanistan,1992,21984
Afghanistan,1993,18320
Afghanistan,1994,14693
Afghanistan,1995,14656
Afghanistan,1996,7328
Afghanistan,1997,3664
Afghanistan,1998,3664
Afghanistan,1999,3664
Afghanistan,2000,3664
Afghanistan,2001,69616
Afghanistan,2002,55109
Afghanistan,2003,91813
Afghanistan,2004,91600
Afghanistan,2005,106256
Afghanistan,2006,160944
Afghanistan,2007,747456
Afghanistan,2008,1078145
Afghanistan,2009,1514100
Afghanistan,2010,2246032
Afghanistan,2011,4180624
Afghanistan,2012,3125392
Afghanistan,2013,3302577
Afghanistan,2014,3621491
Afghanistan,2015,2722352
Afghanistan,2016,2717565
Afghanistan,2017,3257296
Afghanistan,2018,3633429
Afghanistan,2019,3700640
Afghanistan,2020,4115975
Afghanistan,2021,3396528
Afghanistan,2022,3531304
Afghanistan,2023,3843091
Africa,1884,21984
Africa,1885,36640
Africa,1886,47632
Africa,1887,47632
Africa,1888,80608
Africa,1889,131904
Africa,1890,296784
Africa,1891,296784
Africa,1892,479984
Africa,1893,1799024
Africa,1894,2432896
Africa,1895,3337904
Africa,1896,4257568
Africa,1897,4777856
Africa,1898,6049264
Africa,1899,5517984
Africa,1900,2330304
Africa,1901,3909488
Africa,1902,5825760
Africa,1903,7895920
Africa,1904,8910848
Africa,1905,10262864
Africa,1906,11717472
Africa,1907,12930256
Africa,1908,13402912
Africa,1909,15385136
Africa,1910,17411328
Africa,1911,16854400
Africa,1912,17869328
Africa,1913,19565760
Africa,1914,19243328
Africa,1915,19514464
Africa,1916,23072208
Africa,1917,24918864
Africa,1918,23856304
Africa,1919,24750932
Africa,1920,27593584
Africa,1921,27425040
Africa,1922,23435402
Africa,1923,28571872
Africa,1924,30126222
Africa,1925,31623984
Africa,1926,33902990
Africa,1927,33269120
Africa,1928,33815056
Africa,1929,34589910
Africa,1930,32554640
Africa,1931,28307124
Africa,1932,25354880
Africa,1933,27290204
Africa,1934,31323508
Africa,1935,34742940
Africa,1936,37764850
Africa,1937,40582330
Africa,1938,42559696
Africa,1939,43957376
Africa,1940,46039320
Africa,1941,49442016
Africa,1942,54303980
Africa,1943,55236530
Africa,1944,61370588
Africa,1945,62303170
Africa,1946,62937748
Africa,1947,62414836
Africa,1948,64359092
Africa,1949,68580430
Africa,1950,68983440
Africa,1951,72748780
Africa,1952,79382580
Africa,1953,79053176
Africa,1954,81769770
Africa,1955,91675270
Africa,1956,95593704
Africa,1957,99299270
Africa,1958,103144250
Africa,1959,101675750
Africa,1960,103522300
Africa,1961,105003010
Africa,1962,106668390
Africa,1963,109186130
Africa,1964,115604430
Africa,1965,124891080
Africa,1966,123843270
Africa,1967,127101050
Africa,1968,132503540
Africa,1969,135191330
Africa,1970,140096800
Africa,1971,149906400
Africa,1972,153923520
Africa,1973,154291180
Africa,1974,157240740
Africa,1975,162187090
Africa,1976,171906350
Africa,1977,176693260
Africa,1978,178675780
Africa,1979,197362580
Africa,1980,212397550
Africa,1981,237340290
Africa,1982,250232000
Africa,1983,260943420
Africa,1984,286062720
Africa,1985,294697200
Africa,1986,305787400
Africa,1987,312517730
Africa,1988,322718820
Africa,1989,313481500
Africa,1990,295749900
Africa,1991,306500380
Africa,1992,288338270
Africa,1993,318584200
Africa,1994,330423170
Africa,1995,346584450
Africa,1996,352718080
Africa,1997,360178050
Africa,1998,354754000
Africa,1999,365712320
Africa,2000,370010050
Africa,2001,371740200
Africa,2002,360666180
Africa,2003,390582080
Africa,2004,417392320
Africa,2005,412225100
Africa,2006,418609920
Africa,2007,429851520
Africa,2008,455481400
Africa,2009,425295970
Africa,2010,431406560
Africa,2011,424838000
Africa,2012,430713120
Africa,2013,431818800
Africa,2014,445595500
Africa,2015,423878240
Africa,2016,431072960
Africa,2017,424086270
Africa,2018,422251740
Africa,2019,462815500
Africa,2020,433637900
Africa,2021,424493150
Africa,2022,404326140
Africa,2023,400078270
Albania,1933,0
Albania,1934,0
Albania,1935,0
Albania,1936,0
Albania,1937,0
Albania,1938,0
Albania,1939,0
Albania,1940,0
Albania,1941,0
Albania,1942,0
Albania,1943,0
Albania,1944,0
Albania,1945,0
Albania,1946,21984
Albania,1947,0
Albania,1948,7328
Albania,1949,0
Albania,1950,43432
Albania,1951,73280
Albania,1952,76197
Albania,1953,113584
Albania,1954,157552
Albania,1955,219840
Albania,1956,249152
Albania,1957,274800
Albania,1958,289456
Albania,1959,337088
Albania,1960,326096
Albania,1961,321914
Albania,1962,362736
Albania,1963,282128
Albania,1964,333424
Albania,1965,395046
Albania,1966,477005
Albania,1967,523952
Albania,1968,589904
Albania,1969,688832
Albania,1970,891225
Albania,1971,989280
Albania,1972,1080880
Albania,1973,1168816
Albania,1974,1210141
Albania,1975,1260416
Albania,1976,1272350
Albania,1977,1699007
Albania,1978,2126321
Albania,1979,2680752
Albania,1980,2322976
Albania,1981,2644087
Albania,1982,2879904
Albania,1983,3103408
Albania,1984,3400192
Albania,1985,3722624
Albania,1986,3707968
Albania,1987,3735456
Albania,1988,4017755
Albania,1989,4056048
Albania,1990,2498848
Albania,1991,1480256
Albania,1992,799927
Albania,1993,599947
Albania,1994,168544
Albania,1995,161216
Albania,1996,113584
Albania,1997,43968
Albania,1998,54845
Albania,1999,110056
Albania,2000,69531
Albania,2001,80608
Albania,2002,84272
Albania,2003,84272
Albania,2004,84272
Albania,2005,73216
Albania,2006,73210
Albania,2007,73210
Albania,2008,102592
Albania,2009,388384
Albania,2010,428688
Albania,2011,534944
Albania,2012,626544
Albania,2013,795088
Albania,2014,1028913
Albania,2015,322432
Albania,2016,190528
Albania,2017,274599
Albania,2018,472656
Albania,2019,322432
Albania,2020,567920
Albania,2021,856728
Albania,2022,835604
Albania,2023,788590
Algeria,1916,0
Algeria,1917,3664
Algeria,1918,14656
Algeria,1919,15267
Algeria,1920,18320
Algeria,1921,25648
Algeria,1922,22442
Algeria,1923,10992
Algeria,1924,22798
Algeria,1925,25648
Algeria,1926,36640
Algeria,1927,54960
Algeria,1928,43968
Algeria,1929,42056
Algeria,1930,43968
Algeria,1931,57074
Algeria,1932,65952
Algeria,1933,80608
Algeria,1934,91600
Algeria,1935,99819
Algeria,1936,18320
Algeria,1937,36640
Algeria,1938,32976
Algeria,1939,51296
Algeria,1940,146560
Algeria,1941,212512
Algeria,1942,392048
Algeria,1943,311440
Algeria,1944,316441
Algeria,1945,428688
Algeria,1946,568849
Algeria,1947,545936
Algeria,1948,598165
Algeria,1949,706336
Algeria,1950,1883296
Algeria,1951,2040848
Algeria,1952,1842992
Algeria,1953,1547625
Algeria,1954,1483920
Algeria,1955,1593840
Algeria,1956,1761093
Algeria,1957,1974896
Algeria,1958,1810016
Algeria,1959,1461936
Algeria,1960,1256752
Algeria,1961,765313
Algeria,1962,406441
Algeria,1963,252815.98
Algeria,1964,282128
Algeria,1965,263955
Algeria,1966,271136
Algeria,1967,190445
Algeria,1968,201602
Algeria,1969,450525
Algeria,1970,970960
Algeria,1971,901344
Algeria,1972,648528
Algeria,1973,820736
Algeria,1974,699824
Algeria,1975,791333
Algeria,1976,586185
Algeria,1977,604560
Algeria,1978,571584
Algeria,1979,894016
Algeria,1980,1608496
Algeria,1981,1909095
Algeria,1982,1974896
Algeria,1983,3147595
Algeria,1984,4026735.8
Algeria,1985,3077760
Algeria,1986,2726016
Algeria,1987,2967840
Algeria,1988,2975038
Algeria,1989,2986160
Algeria,1990,2942192
Algeria,1991,2689376
Algeria,1992,2377936
Algeria,1993,1923600
Algeria,1994,2286238
Algeria,1995,1934592
Algeria,1996,1406976
Algeria,1997,1381328
Algeria,1998,2110464
Algeria,1999,2172665
Algeria,2000,1960240
Algeria,2001,2095808
Algeria,2002,2608768
Algeria,2003,2788304
Algeria,2004,1923600
Algeria,2005,2363280
Algeria,2006,2700368
Algeria,2007,3011808
Algeria,2008,3008246
Algeria,2009,1593840
Algeria,2010,1216486
Algeria,2011,1047871.94
Algeria,2012,1036882.06
Algeria,2013,725472
Algeria,2014,545922
Algeria,2015,501968.03
Algeria,2016,0
Algeria,2017,864704
Algeria,2018,1450878
Algeria,2019,1198154
Algeria,2020,542272
Algeria,2021,1106552
Algeria,2022,774984
Algeria,2023,688810
Andorra,1990,0
Andorra,1991,0
Andorra,1992,0
Andorra,1993,0
Andorra,1994,0
Andorra,1995,0
Andorra,1996,0
Andorra,1997,0
Andorra,1998,0
Andorra,1999,0
Andorra,2000,0
Andorra,2001,0
Andorra,2002,0
Andorra,2003,0
Andorra,2004,0
Andorra,2005,0
Andorra,2006,0
Andorra,2007,0
Andorra,2008,0
Andorra,2009,0
Andorra,2010,0
Andorra,2011,0
Andorra,2012,0
Andorra,2013,0
Andorra,2014,0
Andorra,2015,0
Andorra,2016,0
Andorra,2017,0
Andorra,2018,0
Andorra,2019,0
Andorra,2020,0
Andorra,2021,0
Andorra,2022,0
Andorra,2023,0
Angola,1950,59796
Angola,1951,95264
Angola,1952,120912
Angola,1953,69616
Angola,1954,76143
Angola,1955,84272
Angola,1956,40304
Angola,1957,80608
Angola,1958,43968
Angola,1959,54960
Angola,1960,123751
Angola,1961,62794
Angola,1962,91316
Angola,1963,21984
Angola,1964,76944
Angola,1965,54960
Angola,1966,87936
Angola,1967,54960
Angola,1968,102368
Angola,1969,91721
Angola,1970,47583
Angola,1971,29281
Angola,1972,7322
Angola,1973,21984
Angola,1974,0
Angola,1975,0
Angola,1976,0
Angola,1977,0
Angola,1978,0
Angola,1979,0
Angola,1980,0
Angola,1981,0
Angola,1982,0
Angola,1983,0
Angola,1984,0
Angola,1985,0
Angola,1986,0
Angola,1987,0
Angola,1988,0
Angola,1989,0
Antigua and Barbuda,1950,2443
Antigua and Barbuda,1951,11166
Antigua and Barbuda,1952,2443
Antigua and Barbuda,1953,2443
Antigua and Barbuda,1954,0
Antigua and Barbuda,1955,2443
Antigua and Barbuda,1956,2443
Argentina,1856,16651
Argentina,1857,40757
Argentina,1858,52768
Argentina,1859,33825
Argentina,1860,41522
Argentina,1861,50365
Argentina,1862,41491
Argentina,1863,61083
Argentina,1864,51953
Argentina,1865,89168
Argentina,1866,141423
Argentina,1867,101799
Argentina,1868,150623
Argentina,1869,174755
Argentina,1870,160446
Argentina,1871,173509
Argentina,1872,169208
Argentina,1873,187797
Argentina,1874,222817
Argentina,1875,129876
Argentina,1876,127019
Argentina,1877,100473
Argentina,1878,80873
Argentina,1879,191650
Argentina,1880,194096
Argentina,1881,308238
Argentina,1882,344096
Argentina,1883,481405
Argentina,1884,657415
Argentina,1885,761540
Argentina,1886,784439
Argentina,1887,1207669
Argentina,1888,1198649
Argentina,1889,1967535
Argentina,1890,1452580
Argentina,1891,1083523
Argentina,1892,1684981
Argentina,1893,1670885
Argentina,1894,1947204
Argentina,1895,2339746
Argentina,1896,2283952
Argentina,1897,2237196
Argentina,1898,2226631
Argentina,1899,2642508
Argentina,1900,2025777.1
Argentina,1901,2407750
Argentina,1902,2554854
Argentina,1903,2922669
Argentina,1904,3738865
Argentina,1905,4654740
Argentina,1906,6213628
Argentina,1907,5458138
Argentina,1908,5887324
Argentina,1909,5454093
Argentina,1910,6914247
Argentina,1911,8437358
Argentina,1912,8545437
Argentina,1913,9288228
Argentina,1914,8169474.5
Argentina,1915,5283444
Argentina,1916,3815566
Argentina,1917,1843432
Argentina,1918,939068
Argentina,1919,2787155
Argentina,1920,4839460
Argentina,1921,3786248
Argentina,1922,4645840
Argentina,1923,5741236
Argentina,1924,7657790
Argentina,1925,7269305
Argentina,1926,6515195
Argentina,1927,8383240.5
Argentina,1928,7736317
Argentina,1929,7797564
Argentina,1930,7690381
Argentina,1931,6568786
Argentina,1932,6128572
Argentina,1933,6251066
Argentina,1934,7001347
Argentina,1935,6771670
Argentina,1936,7208057
Argentina,1937,7854982
Argentina,1938,7223369
Argentina,1939,6871197
Argentina,1940,5152440
Argentina,1941,2685712
Argentina,1942,1385368
Argentina,1943,1549469
Argentina,1944,1648800
Argentina,1945,2044512
Argentina,1946,3041120
Argentina,1947,3254453
Argentina,1948,5814768
Argentina,1949,3598048
Argentina,1950,3561408
Argentina,1951,5470352
Argentina,1952,4506720
Argentina,1953,3114400
Argentina,1954,3722253
Argentina,1955,3209664
Argentina,1956,3814224
Argentina,1957,3359888
Argentina,1958,3781248
Argentina,1959,3729952
Argentina,1960,3905824
Argentina,1961,3539424
Argentina,1962,2007872.1
Argentina,1963,2304656
Argentina,1964,2557304
Argentina,1965,2601440
Argentina,1966,2586784
Argentina,1967,2938857
Argentina,1968,2366944
Argentina,1969,2590448
Argentina,1970,3286608
Argentina,1971,2927536
Argentina,1972,2857920
Argentina,1973,2879904
Argentina,1974,3367216
Argentina,1975,3594384
Argentina,1976,3239095
Argentina,1977,2703934
Argentina,1978,3832544
Argentina,1979,3601712
Argentina,1980,2865248
Argentina,1981,2956848
Argentina,1982,2660158
Argentina,1983,2191072
Argentina,1984,2147178
Argentina,1985,2773547
Argentina,1986,3392864
Argentina,1987,3777584
Argentina,1988,4023193
Argentina,1989,4143983.8
Argentina,1990,3140048
Argentina,1991,2938528
Argentina,1992,3107072
Argentina,1993,2528239
Argentina,1994,3561301
Argentina,1995,3740944
Argentina,1996,3114315
Argentina,1997,2806624
Argentina,1998,3154704
Argentina,1999,2788304
Argentina,2000,2359677
Argentina,2001,2007817
Argentina,2002,1579184
Argentina,2003,2480461
Argentina,2004,2531824
Argentina,2005,3667664
Argentina,2006,3968029
Argentina,2007,3759264
Argentina,2008,3975440
Argentina,2009,3304860
Argentina,2010,4081696
Argentina,2011,4825488
Argentina,2012,5078304
Argentina,2013,4840051
Argentina,2014,5536412
Argentina,2015,5466688
Argentina,2016,4191696.2
Argentina,2017,4279469
Argentina,2018,4356408
Argentina,2019,2143396
Argentina,2020,3224320
Argentina,2021,4510384
Argentina,2022,4779735
Argentina,2023,4106394.8
Armenia,1830,40
Armenia,1831,49
Armenia,1832,32
Armenia,1833,40
Armenia,1850,250.99998
Armenia,1855,761
Armenia,1858,1069
Armenia,1859,1134
Armenia,1860,1379
Armenia,1861,1783
Armenia,1862,1597
Armenia,1863,1604
Armenia,1864,1751
Armenia,1865,1630
Armenia,1866,5727
Armenia,1867,6470
Armenia,1868,4923
Armenia,1869,7001
Armenia,1870,7667
Armenia,1871,10794
Armenia,1872,11024
Armenia,1873,9393
Armenia,1874,10874
Armenia,1875,11584
Armenia,1876,13216
Armenia,1877,11819
Armenia,1878,16014
Armenia,1879,15026
Armenia,1880,17927
Armenia,1881,16336
Armenia,1882,16899
Armenia,1883,19589
Armenia,1884,15519
Armenia,1885,14864
Armenia,1886,15074
Armenia,1887,13393
Armenia,1888,13412
Armenia,1889,15724
Armenia,1890,16463
Armenia,1891,16026
Armenia,1892,17339
Armenia,1893,20114
Armenia,1894,23178
Armenia,1895,21653
Armenia,1896,22752
Armenia,1897,26809
Armenia,1898,29812
Armenia,1899,38124
Armenia,1900,41712
Armenia,1901,38296
Armenia,1902,38061
Armenia,1903,41042
Armenia,1904,49156
Armenia,1905,53474
Armenia,1906,61127
Armenia,1907,72221
Armenia,1908,72977
Armenia,1909,76114
Armenia,1910,71047
Armenia,1911,80009
Armenia,1912,99087
Armenia,1913,117252
Armenia,1914,94956
Armenia,1915,74958
Armenia,1916,79653
Armenia,1917,75786
Armenia,1918,28640
Armenia,1919,16764
Armenia,1920,16020
Armenia,1921,19687
Armenia,1922,23902
Armenia,1923,25962
Armenia,1924,35666
Armenia,1925,32281.998
Armenia,1926,56959
Armenia,1927,73112
Armenia,1928,87370
Armenia,1929,83850
Armenia,1930,83866
Armenia,1931,99816
Armenia,1932,136112
Armenia,1933,168788
Armenia,1934,215614
Armenia,1935,258139.02
Armenia,1936,306644
Armenia,1937,308578
Armenia,1938,324997
Armenia,1939,330677
Armenia,1940,443024
Armenia,1941,356806
Armenia,1942,111790
Armenia,1943,141844
Armenia,1944,220487
Armenia,1945,387386
Armenia,1946,426913
Armenia,1947,509503
Armenia,1948,523888
Armenia,1949,587983
Armenia,1950,647125
Armenia,1951,701469
Armenia,1952,727249
Armenia,1953,746005
Armenia,1954,803450
Armenia,1955,889592
Armenia,1956,924550
Armenia,1957,957699
Armenia,1958,947005
Armenia,1959,935041
Armenia,1960,897988
Armenia,1961,841079
Armenia,1962,794049
Armenia,1963,801820
Armenia,1964,806490
Armenia,1965,818812
Armenia,1966,833679
Armenia,1967,818018
Armenia,1968,788916
Armenia,1969,786587
Armenia,1970,844468
Armenia,1971,838676
Armenia,1972,853450
Armenia,1973,846482
Armenia,1974,831905
Armenia,1975,848283
Armenia,1976,867245
Armenia,1977,874285
Armenia,1978,852820
Armenia,1979,854178
Armenia,1980,906613
Armenia,1981,794660
Armenia,1982,805163
Armenia,1983,794007
Armenia,1984,786752
Armenia,1985,919194
Armenia,1986,988877
Armenia,1987,986305
Armenia,1988,864854
Armenia,1989,815580
Armenia,1990,694491
Armenia,1991,604220
Armenia,1992,373728
Armenia,1993,7339
Armenia,1994,95264
Armenia,1995,7328
Armenia,1996,14656
Armenia,1997,14656
Armenia,1998,14640
Armenia,1999,7328
Armenia,2000,0
Armenia,2001,0
Armenia,2002,47574
Armenia,2003,73280
Armenia,2004,0
Armenia,2005,0
Armenia,2006,3664
Armenia,2007,7333
Armenia,2008,7328
Armenia,2009,0
Armenia,2010,3664
Armenia,2011,7328
Armenia,2012,7328
Armenia,2013,3664
Armenia,2014,3662
Armenia,2015,3662
Armenia,2016,3667
Armenia,2017,3666
Armenia,2018,3662
Armenia,2019,10992
Armenia,2020,29312
Armenia,2021,43990
Armenia,2022,40115
Armenia,2023,40706
Aruba,1926,0
Aruba,1927,0
Aruba,1928,0
Aruba,1929,0
Aruba,1930,0
Aruba,1931,0
Aruba,1932,0
Aruba,1933,0
Aruba,1934,0
Aruba,1935,0
Aruba,1936,0
Aruba,1937,0
Aruba,1938,0
Aruba,1939,0
Aruba,1940,0
Aruba,1941,0
Aruba,1942,0
Aruba,1943,0
Aruba,1944,0
Aruba,1945,0
Aruba,1946,0
Aruba,1947,0
Aruba,1948,0
Aruba,1949,0
Aruba,1950,0
Aruba,1951,0
Aruba,1952,0
Aruba,1953,0
Aruba,1954,0
Aruba,1955,0
Aruba,1956,0
Aruba,1957,0
Aruba,1958,0
Aruba,1959,0
Aruba,1960,0
Aruba,1961,0
Aruba,1962,0
Aruba,1963,0
Aruba,1964,0
Aruba,1965,0
Aruba,1966,0
Aruba,1967,0
Aruba,1968,0
Aruba,1969,0
Aruba,1970,0
Aruba,1971,0
Aruba,1972,0
Aruba,1973,0
Aruba,1974,0
Aruba,1975,0
Aruba,1976,0
Aruba,1977,0
Aruba,1978,0
Aruba,1979,0
Aruba,1980,0
Aruba,1981,0
Aruba,1982,0
Aruba,1983,0
Aruba,1984,0
Aruba,1985,0
Asia,1830,2370
Asia,1831,2845
Asia,1832,1895
Asia,1833,2370
Asia,1850,14699
Asia,1855,44575
Asia,1858,457082
Asia,1859,702872
Asia,1860,722568
Asia,1861,599744
Asia,1862,642151
Asia,1863,703039
Asia,1864,679276
Asia,1865,813407
Asia,1866,1177773
Asia,1867,599583
Asia,1868,477585
Asia,1869,692591
Asia,1870,620230
Asia,1871,840931
Asia,1872,909054
Asia,1873,822994
Asia,1874,1487785
Asia,1875,2487608
Asia,1876,2513744
Asia,1877,2540612
Asia,1878,4946445
Asia,1879,4975903
Asia,1880,5405449
Asia,1881,5536575
Asia,1882,5776689
Asia,1883,6470191
Asia,1884,6805983
Asia,1885,7086897
Asia,1886,7412089
Asia,1887,8720675
Asia,1888,9649677
Asia,1889,11382458
Asia,1890,12367015
Asia,1891,14187318
Asia,1892,15107490
Asia,1893,16250478
Asia,1894,18963906
Asia,1895,21685724
Asia,1896,23179134
Asia,1897,24691740
Asia,1898,30081060
Asia,1899,32028540
Asia,1900,36349324
Asia,1901,40873350
Asia,1902,43757370
Asia,1903,45269292
Asia,1904,50658384
Asia,1905,52332132
Asia,1906,58509456
Asia,1907,84188450
Asia,1908,92474480
Asia,1909,94427290
Asia,1910,97496450
Asia,1911,103731510
Asia,1912,105975250
Asia,1913,122133180
Asia,1914,127379010
Asia,1915,120462590
Asia,1916,132054290
Asia,1917,143990260
Asia,1918,151685330
Asia,1919,167022700
Asia,1920,157557460
Asia,1921,151445630
Asia,1922,157998500
Asia,1923,171998000
Asia,1924,183810270
Asia,1925,184181680
Asia,1926,185916060
Asia,1927,199722750
Asia,1928,205421700
Asia,1929,211298780
Asia,1930,206650270
Asia,1931,196413120
Asia,1932,193889920
Asia,1933,213495580
Asia,1934,241929800
Asia,1935,263280500
Asia,1936,281962300
Asia,1937,291257120
Asia,1938,299340960
Asia,1939,312836860
Asia,1940,371542460
Asia,1941,389853920
Asia,1942,368434240
Asia,1943,350149730
Asia,1944,341204700
Asia,1945,224273140
Asia,1946,185749550
Asia,1947,218697860
Asia,1948,239748290
Asia,1949,282774530
Asia,1950,305218430
Asia,1951,351867500
Asia,1952,390235140
Asia,1953,406526620
Asia,1954,436500900
Asia,1955,476318240
Asia,1956,521423940
Asia,1957,592407200
Asia,1958,861192100
Asia,1959,1061574850
Asia,1960,1145780500
Asia,1961,951363900
Asia,1962,854517400
Asia,1963,868150800
Asia,1964,876237950
Asia,1965,937503740
Asia,1966,991371100
Asia,1967,924992900
Asia,1968,981368770
Asia,1969,1098440200
Asia,1970,1290848800
Asia,1971,1379197200
Asia,1972,1401237500
Asia,1973,1448287000
Asia,1974,1472007700
Asia,1975,1619197700
Asia,1976,1637476900
Asia,1977,1743945100
Asia,1978,1821903900
Asia,1979,1894843800
Asia,1980,1939032200
Asia,1981,1978361600
Asia,1982,2121364600
Asia,1983,2229771000
Asia,1984,2429777000
Asia,1985,2656944400
Asia,1986,2778088000
Asia,1987,2940078800
Asia,1988,3165396000
Asia,1989,3218642400
Asia,1990,3261176300
Asia,1991,3377551400
Asia,1992,3437750500
Asia,1993,3570502700
Asia,1994,3728745500
Asia,1995,3944967400
Asia,1996,4107152100
Asia,1997,4110707700
Asia,1998,3923371800
Asia,1999,4117670100
Asia,2000,4276301800
Asia,2001,4360268300
Asia,2002,4811789300
Asia,2003,5513040000
Asia,2004,5839900700
Asia,2005,6530243000
Asia,2006,7121475600
Asia,2007,7675403300
Asia,2008,8181444000
Asia,2009,8569837600
Asia,2010,9267483000
Asia,2011,10125451000
Asia,2012,10468872000
Asia,2013,10571641000
Asia,2014,10700717000
Asia,2015,10623522000
Asia,2016,10508239000
Asia,2017,10787371000
Asia,2018,11133382000
Asia,2019,11415540000
Asia,2020,11420016000
Asia,2021,12079001000
Asia,2022,12243350000
Asia,2023,12787506000
Asia (excl. China and India),1830,2370
Asia (excl. China and India),1831,2845
Asia (excl. China and India),1832,1895
Asia (excl. China and India),1833,2370
Asia (excl. China and India),1850,14699
Asia (excl. China and India),1855,44575
Asia (excl. China and India),1858,62594
Asia (excl. China and India),1859,66387
Asia (excl. China and India),1860,79453
Asia (excl. China and India),1861,102490
Asia (excl. China and India),1862,91857
Asia (excl. China and India),1863,93074
Asia (excl. China and India),1864,102462
Asia (excl. China and India),1865,246538
Asia (excl. China and India),1866,537973
Asia (excl. China and India),1867,599583
Asia (excl. China and India),1868,477585
Asia (excl. China and India),1869,692591
Asia (excl. China and India),1870,620230
Asia (excl. China and India),1871,840931
Asia (excl. China and India),1872,909054
Asia (excl. China and India),1873,822994
Asia (excl. China and India),1874,1487785
Asia (excl. China and India),1875,2487608
Asia (excl. China and India),1876,2513744
Asia (excl. China and India),1877,2540612
Asia (excl. China and India),1878,3179537
Asia (excl. China and India),1879,3364801
Asia (excl. China and India),1880,3628596
Asia (excl. China and India),1881,3796349
Asia (excl. China and India),1882,3807564
Asia (excl. China and India),1883,4179509
Asia (excl. China and India),1884,4372755
Asia (excl. China and India),1885,4832680
Asia (excl. China and India),1886,4995436
Asia (excl. China and India),1887,5998700
Asia (excl. China and India),1888,6675712
Asia (excl. China and India),1889,7994503
Asia (excl. China and India),1890,8591202
Asia (excl. China and India),1891,10133043
Asia (excl. China and India),1892,10691395
Asia (excl. China and India),1893,11791172
Asia (excl. China and India),1894,14054353
Asia (excl. China and India),1895,15523471
Asia (excl. China and India),1896,16476515
Asia (excl. China and India),1897,17610848
Asia (excl. China and India),1898,22058334
Asia (excl. China and India),1899,23157534
Asia (excl. China and India),1900,25694834
Asia (excl. China and India),1901,29320490
Asia (excl. China and India),1902,30831752
Asia (excl. China and India),1903,32317492
Asia (excl. China and India),1904,36350740
Asia (excl. China and India),1905,37673096
Asia (excl. China and India),1906,41473544
Asia (excl. China and India),1907,44881796
Asia (excl. China and India),1908,47501444
Asia (excl. China and India),1909,49506530
Asia (excl. China and India),1910,51509536
Asia (excl. China and India),1911,56956640
Asia (excl. China and India),1912,63337530
Asia (excl. China and India),1913,69657490
Asia (excl. China and India),1914,71989230
Asia (excl. China and India),1915,65256510
Asia (excl. China and India),1916,71879220
Asia (excl. China and India),1917,80251970
Asia (excl. China and India),1918,80850020
Asia (excl. China and India),1919,89622776
Asia (excl. China and India),1920,86001740
Asia (excl. China and India),1921,79068540
Asia (excl. China and India),1922,84922820
Asia (excl. China and India),1923,91249496
Asia (excl. China and India),1924,98084820
Asia (excl. China and India),1925,101827580
Asia (excl. China and India),1926,105695190
Asia (excl. China and India),1927,115470870
Asia (excl. China and India),1928,118624504
Asia (excl. China and India),1929,122323020
Asia (excl. China and India),1930,115868100
Asia (excl. China and India),1931,106978776
Asia (excl. China and India),1932,108823660
Asia (excl. China and India),1933,125305390
Asia (excl. China and India),1934,141516030
Asia (excl. China and India),1935,151141020
Asia (excl. China and India),1936,168046960
Asia (excl. China and India),1937,177720540
Asia (excl. China and India),1938,189462620
Asia (excl. China and India),1939,191453570
Asia (excl. China and India),1940,231642260
Asia (excl. China and India),1941,227094690
Asia (excl. China and India),1942,192728370
Asia (excl. China and India),1943,198319660
Asia (excl. China and India),1944,193807820
Asia (excl. China and India),1945,118145060
Asia (excl. China and India),1946,99622290
Asia (excl. China and India),1947,125529460
Asia (excl. China and India),1948,150026180
Asia (excl. China and India),1949,167007580
Asia (excl. China and India),1950,175044200
Asia (excl. China and India),1951,197221760
Asia (excl. China and India),1952,206760830
Asia (excl. China and India),1953,217222530
Asia (excl. China and India),1954,220317000
Asia (excl. China and India),1955,229410460
Asia (excl. China and India),1956,251244350
Asia (excl. China and India),1957,275759740
Asia (excl. China and India),1958,277198720
Asia (excl. China and India),1959,286613250
Asia (excl. China and India),1960,309526820
Asia (excl. China and India),1961,334003230
Asia (excl. China and India),1962,339331780
Asia (excl. China and India),1963,351602140
Asia (excl. China and India),1964,368739600
Asia (excl. China and India),1965,388054500
